SITE_NAME;FREQUENCE;BEGIN;END; DAY ;KWH_PERIOD;PERIOD_EUR
0001BB;36;01/01/2018;31/01/2018;30;2447;316,46
0001BB;36;01/02/2018;28/02/2018;27;2211;286,82
0001BB;36;01/03/2018;31/03/2018;30;2450;317,32
0001BB;36;01/04/2018;30/04/2018;29;2431;315
0001BB;36;01/05/2018;31/05/2018;30;2574;333,37
0001BB;36;01/06/2018;30/06/2018;29;2830;365,27
0001BB;36;01/07/2018;31/07/2018;30;3028;390,39
0001BB;36;01/08/2018;31/08/2018;30;3053;393,99
0001BB;36;01/09/2018;30/09/2018;29;2915;378,35
0001BB;36;01/10/2018;31/10/2018;30;2986;387,05
0001BB;36;01/11/2018;30/11/2018;29;2871;372,47
0001BB;36;01/12/2018;31/12/2018;30;3086;399,3
0001BB;36;01/01/2019;31/01/2019;30;3094;381,4
0001BB;36;01/02/2019;28/02/2019;27;2767;345,87
0001BB;36;01/03/2019;31/03/2019;30;3059;378,18
0001BB;36;01/04/2019;30/04/2019;29;2761;340,84
0001BB;36;01/05/2019;31/05/2019;30;2844;349,26
0001BB;36;01/06/2019;30/06/2019;29;3009;369,19
0001BB;36;01/07/2019;31/07/2019;30;3016;371,2
0001BB;36;01/08/2019;31/08/2019;30;3089;380,42
0001BB;36;01/09/2019;30/09/2019;29;2914;361,36
0001BB;36;01/10/2019;31/10/2019;30;2963;366,7
0001BB;36;01/11/2019;30/11/2019;29;2797;345,89
0001BB;36;01/12/2019;31/12/2019;30;2859;353,08
0001BB;36;01/01/2020;31/01/2020;30;2863;414,93
0001BB;36;01/02/2020;29/02/2020;28;2663;387,22
0001BB;36;01/03/2020;31/03/2020;30;2759;403,25
0001BB;36;01/04/2020;30/04/2020;29;2680;390,79
0001BB;36;01/05/2020;31/05/2020;30;2797;407,48
0001BB;36;01/06/2020;30/06/2020;29;2796;407,77
0001BB;36;01/07/2020;31/07/2020;30;2952;429,09
0001BB;36;01/08/2020;31/08/2020;30;3014;435,98
0001BB;36;01/09/2020;30/09/2020;29;2857;411,97
0001BB;36;01/10/2020;31/10/2020;30;2905;413,41
0001BB;36;01/11/2020;30/11/2020;29;2755;383,02
0001BR;71;01/01/2018;31/01/2018;30;2438;266,43
0001BR;71;01/02/2018;28/02/2018;27;2211;242,33
0001BR;71;01/03/2018;31/03/2018;30;2453;267,95
0001BR;71;01/04/2018;30/04/2018;29;2414;263,78
0001BR;71;01/05/2018;31/05/2018;30;2517;274,62
0001BR;71;01/06/2018;30/06/2018;29;2461;268,63
0001BR;71;01/07/2018;31/07/2018;30;2560;279,26
0001BR;71;01/08/2018;31/08/2018;30;2597;283,07
0001BR;71;01/09/2018;30/09/2018;29;2436;267,99
0001BR;71;01/10/2018;31/10/2018;30;2497;274,5
0001BR;71;01/11/2018;30/11/2018;29;2397;263,82
0001BR;71;01/12/2018;31/12/2018;30;2452;269,69
0001BR;71;01/01/2019;31/01/2019;30;2460;264,03
0001BR;71;01/02/2019;28/02/2019;27;2229;239,96
0001BR;71;01/03/2019;31/03/2019;30;2475;265,56
0001BR;71;01/04/2019;30/04/2019;29;2410;258,76
0001BR;71;01/05/2019;31/05/2019;30;2508;268,92
0001BR;71;01/06/2019;30/06/2019;29;2529;270,94
0001BR;71;01/07/2019;31/07/2019;30;2593;277,63
0001BR;71;01/08/2019;31/08/2019;30;2603;278,6
0001BR;71;01/09/2019;30/09/2019;29;2595;277,2
0001BR;71;01/10/2019;31/10/2019;30;2708;288,79
0001BR;71;01/11/2019;30/11/2019;29;2595;277,07
0001BR;71;01/12/2019;31/12/2019;30;2648;282,57
0001BR;71;01/01/2020;31/01/2020;30;2600;330,81
0001BR;71;01/02/2020;29/02/2020;28;2445;311,57
0001BR;71;01/03/2020;31/03/2020;30;2609;330,32
0001BR;71;01/04/2020;30/04/2020;29;2629;332,7
0001BR;71;01/05/2020;31/05/2020;30;2735;345,77
0001BR;71;01/06/2020;30/06/2020;29;2687;339,78
0001BR;71;01/07/2020;31/07/2020;30;2854;360,33
0001BR;71;01/08/2020;31/08/2020;30;2886;364,21
0001BR;71;01/09/2020;30/09/2020;29;2761;348,79
0001BR;71;01/10/2020;31/10/2020;30;2802;353,9
0001BR;71;01/11/2020;30/11/2020;29;2677;338,44
0001KO;106;01/01/2018;31/01/2018;30;2179;268,53
0001KO;106;01/02/2018;28/02/2018;27;1971;243,47
0001KO;106;01/03/2018;31/03/2018;30;2191;269,98
0001KO;106;01/04/2018;30/04/2018;29;2370;291,55
0001KO;106;01/05/2018;31/05/2018;30;2647;324,92
0001KO;106;01/06/2018;30/06/2018;29;2634;323,35
0001KO;106;01/07/2018;31/07/2018;30;2799;343,43
0001KO;106;01/08/2018;31/08/2018;30;2908;356,57
0001KO;106;01/09/2018;30/09/2018;29;2483;307,29
0001KO;106;01/10/2018;31/10/2018;30;2297;284,72
0001KO;106;01/11/2018;30/11/2018;29;2130;264,46
0001KO;106;01/12/2018;31/12/2018;30;2489;308,02
0001KO;106;01/01/2019;31/01/2019;30;2679;364,03
0001KO;106;01/02/2019;28/02/2019;27;2429;330,63
0001KO;106;01/03/2019;31/03/2019;30;2648;359,89
0001KO;106;01/04/2019;30/04/2019;29;2478;337,18
0001KO;106;01/05/2019;31/05/2019;30;2535;344,79
0001KO;106;01/06/2019;30/06/2019;29;2884;391,43
0001KO;106;01/07/2019;31/07/2019;30;2872;389,82
0001KO;106;01/08/2019;31/08/2019;30;2978;403,99
0001KO;106;01/09/2019;30/09/2019;29;2529;343,99
0001KO;106;01/10/2019;31/10/2019;30;2487;338,38
0001KO;106;01/11/2019;30/11/2019;29;2384;324,62
0001KO;106;01/12/2019;31/12/2019;30;2463;335,17
0001KO;106;01/01/2020;31/01/2020;30;2454;331,9
0001KO;106;01/02/2020;29/02/2020;28;2377;321,7
0001KO;106;01/03/2020;31/03/2020;30;2596;350,71
0001KO;106;01/04/2020;30/04/2020;29;2675;365,4
0001KO;106;01/05/2020;31/05/2020;30;2781;375,22
0001KO;106;01/06/2020;30/06/2020;29;2989;402,77
0001KO;106;01/07/2020;31/07/2020;30;3322;446,89
0001KO;106;01/08/2020;31/08/2020;30;3109;418,67
0001KO;106;01/09/2020;30/09/2020;29;2911;392,44
0001KO;106;01/10/2020;31/10/2020;30;2747;370,72
0001KO;106;01/11/2020;30/11/2020;29;2625;354,55
0002BB;141;01/01/2018;31/01/2018;30;2376;310,46
0002BB;141;01/02/2018;28/02/2018;27;2160;283,07
0002BB;141;01/03/2018;31/03/2018;30;2390;313,01
0002BB;141;01/04/2018;30/04/2018;29;2378;311,8
0002BB;141;01/05/2018;31/05/2018;30;2529;330,93
0002BB;141;01/06/2018;30/06/2018;29;2790;363,65
0002BB;141;01/07/2018;31/07/2018;30;2988;388,77
0002BB;141;01/08/2018;31/08/2018;30;3019;393,19
0002BB;141;01/09/2018;30/09/2018;29;2873;376,62
0002BB;141;01/10/2018;31/10/2018;30;2940;384,79
0002BB;141;01/11/2018;30/11/2018;29;2821;369,46
0002BB;141;01/12/2018;31/12/2018;30;3029;395,45
0002BB;141;01/01/2019;31/01/2019;30;3033;378,02
0002BB;141;01/02/2019;28/02/2019;27;2684;339,51
0002BB;141;01/03/2019;31/03/2019;30;3008;376,16
0002BB;141;01/04/2019;30/04/2019;29;2663;332,01
0002BB;141;01/05/2019;31/05/2019;30;2741;339,86
0002BB;141;01/06/2019;30/06/2019;29;2952;364,23
0002BB;141;01/07/2019;31/07/2019;30;2914;363,68
0002BB;141;01/08/2019;31/08/2019;30;2965;368,84
0002BB;141;01/09/2019;30/09/2019;29;2819;352,21
0002BB;141;01/10/2019;31/10/2019;30;2927;364,86
0002BB;141;01/11/2019;30/11/2019;29;2773;346,35
0002BB;141;01/12/2019;31/12/2019;30;2822;351,9
0002BB;141;01/01/2020;31/01/2020;30;2830;406,02
0002BB;141;01/02/2020;29/02/2020;28;2625;378,86
0002BB;141;01/03/2020;31/03/2020;30;2734;396,33
0002BB;141;01/04/2020;30/04/2020;29;2644;382,45
0002BB;141;01/05/2020;31/05/2020;30;2753;397,69
0002BB;141;01/06/2020;30/06/2020;29;2763;399,57
0002BB;141;01/07/2020;31/07/2020;30;2904;418,43
0002BB;141;01/08/2020;31/08/2020;30;2962;425,38
0002BB;141;01/09/2020;30/09/2020;29;2828;406,82
0002BB;141;01/10/2020;31/10/2020;30;2875;412,79
0002BB;141;01/11/2020;30/11/2020;29;2739;381,14
0002BR;176;01/01/2018;31/01/2018;30;2187;239,96
0002BR;176;01/02/2018;28/02/2018;27;1985;218,51
0002BR;176;01/03/2018;31/03/2018;30;2209;242,16
0002BR;176;01/04/2018;30/04/2018;29;2151;235,47
0002BR;176;01/05/2018;31/05/2018;30;2251;245,79
0002BR;176;01/06/2018;30/06/2018;29;2207;241
0002BR;176;01/07/2018;31/07/2018;30;2290;249,83
0002BR;176;01/08/2018;31/08/2018;30;2316;252,45
0002BR;176;01/09/2018;30/09/2018;29;2172;239,1
0002BR;176;01/10/2018;31/10/2018;30;2216;244,03
0002BR;176;01/11/2018;30/11/2018;29;2313;254,38
0002BR;176;01/12/2018;31/12/2018;30;2659;290,96
0002BR;176;01/01/2019;31/01/2019;30;2662;284,26
0002BR;176;01/02/2019;28/02/2019;27;2409;257,94
0002BR;176;01/03/2019;31/03/2019;30;2707;288,61
0002BR;176;01/04/2019;30/04/2019;29;2624;279,83
0002BR;176;01/05/2019;31/05/2019;30;2715;289,18
0002BR;176;01/06/2019;30/06/2019;29;2741;291,44
0002BR;176;01/07/2019;31/07/2019;30;2812;298,72
0002BR;176;01/08/2019;31/08/2019;30;2537;269,82
0002BR;176;01/09/2019;30/09/2019;29;2414;257,19
0002BR;176;01/10/2019;31/10/2019;30;2489;265,07
0002BR;176;01/11/2019;30/11/2019;29;2410;257,13
0002BR;176;01/12/2019;31/12/2019;30;2493;265,86
0002BR;176;01/01/2020;31/01/2020;30;2513;319,43
0002BR;176;01/02/2020;29/02/2020;28;2400;305,19
0002BR;176;01/03/2020;31/03/2020;30;2646;333,77
0002BR;176;01/04/2020;30/04/2020;29;2674;337
0002BR;176;01/05/2020;31/05/2020;30;2651;334,85
0002BR;176;01/06/2020;30/06/2020;29;2586;326,84
0002BR;176;01/07/2020;31/07/2020;30;2751;347,07
0002BR;176;01/08/2020;31/08/2020;30;2780;350,62
0002BR;176;01/09/2020;30/09/2020;29;2660;335,86
0002BR;176;01/10/2020;31/10/2020;30;2745;346,36
0002BR;176;01/11/2020;30/11/2020;29;2628;331,97
0002KO;211;01/01/2018;31/01/2018;30;2312;286,36
0002KO;211;01/02/2018;28/02/2018;27;2086;259,13
0002KO;211;01/03/2018;31/03/2018;30;2308;285,88
0002KO;211;01/04/2018;30/04/2018;29;2245;278,29
0002KO;211;01/05/2018;31/05/2018;30;2339;289,61
0002KO;211;01/06/2018;30/06/2018;29;2278;282,26
0002KO;211;01/07/2018;31/07/2018;30;2348;290,86
0002KO;211;01/08/2018;31/08/2018;30;2368;293,27
0002KO;211;01/09/2018;30/09/2018;29;2248;280,57
0002KO;211;01/10/2018;31/10/2018;30;2300;286,88
0002KO;211;01/11/2018;30/11/2018;29;2595;322,68
0002KO;211;01/12/2018;31/12/2018;30;2765;343,31
0002KO;211;01/01/2019;31/01/2019;30;2766;377,48
0002KO;211;01/02/2019;28/02/2019;27;2500;341,94
0002KO;211;01/03/2019;31/03/2019;30;2652;362,25
0002KO;211;01/04/2019;30/04/2019;29;2483;339,67
0002KO;211;01/05/2019;31/05/2019;30;2548;348,35
0002KO;211;01/06/2019;30/06/2019;29;2514;343,81
0002KO;211;01/07/2019;31/07/2019;30;2557;349,55
0002KO;211;01/08/2019;31/08/2019;30;2575;351,96
0002KO;211;01/09/2019;30/09/2019;29;2473;338,33
0002KO;211;01/10/2019;31/10/2019;30;2550;348,62
0002KO;211;01/11/2019;30/11/2019;29;2462;336,86
0002KO;211;01/12/2019;31/12/2019;30;2520;344,61
0002KO;211;01/01/2020;31/01/2020;30;2524;343,21
0002KO;211;01/02/2020;29/02/2020;28;2437;331,69
0002KO;211;01/03/2020;31/03/2020;30;2623;356,33
0002KO;211;01/04/2020;30/04/2020;29;2632;357,52
0002KO;211;01/05/2020;31/05/2020;30;2715;368,52
0002KO;211;01/06/2020;30/06/2020;29;2655;360,57
0002KO;211;01/07/2020;31/07/2020;30;2794;378,98
0002KO;211;01/08/2020;31/08/2020;30;2845;385,74
0002KO;211;01/09/2020;30/09/2020;29;2726;369,97
0002KO;211;01/10/2020;31/10/2020;30;2797;379,38
0002KO;211;01/11/2020;30/11/2020;29;2678;363,62
0003BB;246;01/01/2018;31/01/2018;30;2100;271,9
0003BB;246;01/02/2018;28/02/2018;27;1897;246,46
0003BB;246;01/03/2018;31/03/2018;30;2103;272,7
0003BB;246;01/04/2018;30/04/2018;29;2062;267,67
0003BB;246;01/05/2018;31/05/2018;30;2144;278,24
0003BB;246;01/06/2018;30/06/2018;29;2409;311,78
0003BB;246;01/07/2018;31/07/2018;30;2675;345,06
0003BB;246;01/08/2018;31/08/2018;30;2701;348,81
0003BB;246;01/09/2018;30/09/2018;29;2147;280,38
0003BB;246;01/10/2018;31/10/2018;30;3052;394,4
0003BB;246;01/11/2018;30/11/2018;29;2527;327,92
0003BB;246;01/12/2018;31/12/2018;30;2742;354,9
0003BB;246;01/01/2019;31/01/2019;30;2729;337,04
0003BB;246;01/02/2019;28/02/2019;27;2353;291,99
0003BB;246;01/03/2019;31/03/2019;30;2587;319,91
0003BB;246;01/04/2019;30/04/2019;29;2392;296,52
0003BB;246;01/05/2019;31/05/2019;30;2476;306,3
0003BB;246;01/06/2019;30/06/2019;29;2673;331,24
0003BB;246;01/07/2019;31/07/2019;30;2849;352,67
0003BB;246;01/08/2019;31/08/2019;30;2868;354,63
0003BB;246;01/09/2019;30/09/2019;29;2739;338,53
0003BB;246;01/10/2019;31/10/2019;30;2832;349,45
0003BB;246;01/11/2019;30/11/2019;29;2700;333,53
0003BB;246;01/12/2019;31/12/2019;30;2764;341,07
0003BB;246;01/01/2020;31/01/2020;30;2765;392,85
0003BB;246;01/02/2020;29/02/2020;28;2544;364,42
0003BB;246;01/03/2020;31/03/2020;30;2671;383,97
0003BB;246;01/04/2020;30/04/2020;29;2608;373,97
0003BB;246;01/05/2020;31/05/2020;30;2691;385,3
0003BB;246;01/06/2020;30/06/2020;29;2663;381,63
0003BB;246;01/07/2020;31/07/2020;30;2789;398,15
0003BB;246;01/08/2020;31/08/2020;30;2839;404,26
0003BB;246;01/09/2020;30/09/2020;29;2709;386,06
0003BB;246;01/10/2020;31/10/2020;30;2765;393,2
0003BB;246;01/11/2020;30/11/2020;29;2642;366,39
0003BR;281;01/01/2018;31/01/2018;30;2437;266,44
0003BR;281;01/02/2018;28/02/2018;27;2206;241,91
0003BR;281;01/03/2018;31/03/2018;30;2446;267,32
0003BR;281;01/04/2018;30/04/2018;29;2423;264,79
0003BR;281;01/05/2018;31/05/2018;30;2532;276,25
0003BR;281;01/06/2018;30/06/2018;29;2478;270,43
0003BR;281;01/07/2018;31/07/2018;30;2556;278,84
0003BR;281;01/08/2018;31/08/2018;30;2598;283,15
0003BR;281;01/09/2018;30/09/2018;29;2453;269,79
0003BR;281;01/10/2018;31/10/2018;30;2506;275,51
0003BR;281;01/11/2018;30/11/2018;29;2409;265,07
0003BR;281;01/12/2018;31/12/2018;30;2455;270,01
0003BR;281;01/01/2019;31/01/2019;30;2467;264,75
0003BR;281;01/02/2019;28/02/2019;27;2237;240,77
0003BR;281;01/03/2019;31/03/2019;30;2494;267,47
0003BR;281;01/04/2019;30/04/2019;29;2426;260,39
0003BR;281;01/05/2019;31/05/2019;30;2526;270,73
0003BR;281;01/06/2019;30/06/2019;29;2566;274,67
0003BR;281;01/07/2019;31/07/2019;30;2618;280,06
0003BR;281;01/08/2019;31/08/2019;30;2615;279,72
0003BR;281;01/09/2019;30/09/2019;29;2484;266,17
0003BR;281;01/10/2019;31/10/2019;30;2736;291,59
0003BR;281;01/11/2019;30/11/2019;29;2617;279,31
0003BR;281;01/12/2019;31/12/2019;30;2660;283,77
0003BR;281;01/01/2020;31/01/2020;30;2662;338,47
0003BR;281;01/02/2020;29/02/2020;28;2524;321,27
0003BR;281;01/03/2020;31/03/2020;30;2694;340,71
0003BR;281;01/04/2020;30/04/2020;29;2704;341,86
0003BR;281;01/05/2020;31/05/2020;30;2801;353,83
0003BR;281;01/06/2020;30/06/2020;29;2743;346,6
0003BR;281;01/07/2020;31/07/2020;30;2920;368,35
0003BR;281;01/08/2020;31/08/2020;30;2872;362,49
0003BR;281;01/09/2020;30/09/2020;29;2818;355,93
0003BR;281;01/10/2020;31/10/2020;30;2862;361,39
0003BR;281;01/11/2020;30/11/2020;29;2739;346,21
0003KO;292;01/01/2018;31/03/2018;89;6293;985,04
0003KO;292;01/04/2018;30/06/2018;90;7082;1118,25
0003KO;292;01/07/2018;30/09/2018;91;6740;1066,96
0003KO;292;01/10/2018;31/12/2018;91;8423;1331,26
0003KO;292;01/01/2019;31/03/2019;89;7883;1373,3
0003KO;292;01/04/2019;30/06/2019;90;7024;1229,28
0003KO;292;01/07/2019;30/09/2019;91;7143;1251,45
0003KO;292;01/10/2019;31/12/2019;91;7707;1345,33
0003KO;292;01/01/2020;31/03/2020;90;6561;1058,29
0003KO;292;01/04/2020;30/06/2020;90;7511;1220,24
0003KO;292;01/07/2020;30/09/2020;91;7823;1270,14
0004BB;328;01/01/2018;31/01/2018;30;14414;1369,33
0004BB;328;01/02/2018;28/02/2018;27;12328;1171,16
0004BB;328;01/03/2018;31/03/2018;30;12849;1220,66
0004BB;328;01/04/2018;30/04/2018;29;14535;1380,83
0004BB;328;01/05/2018;31/05/2018;30;14547;1381,97
0004BB;328;01/06/2018;30/06/2018;29;14379;1366,01
0004BB;328;01/07/2018;31/07/2018;30;15907;1511,17
0004BB;328;01/08/2018;31/08/2018;30;15701;1491,6
0004BB;328;01/09/2018;30/09/2018;29;15544;1476,68
0004BB;328;01/10/2018;31/10/2018;30;14691;1395,65
0004BB;328;01/11/2018;30/11/2018;29;14728;1399,16
0004BB;328;01/12/2018;31/12/2018;30;15174;1441,53
0004BB;328;01/01/2019;31/01/2019;30;9410;1246,83
0004BB;328;01/01/2019;31/01/2019;30;15297;2026,85
0004BB;328;01/02/2019;28/02/2019;27;13756;1822,67
0004BB;328;01/03/2019;31/03/2019;30;15810;2094,83
0004BB;328;01/04/2019;30/04/2019;29;14090;1866,93
0004BB;328;01/05/2019;31/05/2019;30;14081;1865,73
0004BB;328;01/06/2019;30/06/2019;29;17034;2257,01
0004BB;328;01/07/2019;31/07/2019;30;14906;1975,05
0004BB;328;01/08/2019;31/08/2019;30;14638;1939,54
0004BB;328;01/09/2019;30/09/2019;29;11200;1484
0004BB;328;01/10/2019;31/10/2019;30;12068;1599,01
0004BB;328;01/11/2019;30/11/2019;29;11184;1481,88
0004BB;328;01/12/2019;31/12/2019;30;9904;1312,28
0004BB;328;01/01/2020;31/01/2020;30;9410;1246,83
0004BB;328;01/02/2020;29/02/2020;28;9465;1254,11
0004BB;328;01/03/2020;31/03/2020;30;8849;1172,49
0004BB;328;01/04/2020;30/04/2020;29;9214;1220,86
0004BB;328;01/05/2020;31/05/2020;30;9883;1309,5
0004BB;328;01/06/2020;30/06/2020;29;9050;1199,13
0004BB;328;01/07/2020;31/07/2020;30;9809;1299,69
0004BB;328;01/08/2020;31/08/2020;30;9962;1319,97
0004BB;328;01/09/2020;30/09/2020;29;9092;1204,69
0004BB;328;01/10/2020;31/10/2020;30;8640;1144,8
0004BB;328;01/11/2020;30/11/2020;29;8720;1155,4
0004BR;363;01/01/2018;31/01/2018;30;2276;244,43
0004BR;363;01/02/2018;28/02/2018;27;2057;221,74
0004BR;363;01/03/2018;31/03/2018;30;2284;245,26
0004BR;363;01/04/2018;30/04/2018;29;2253;242,04
0004BR;363;01/05/2018;31/05/2018;30;2345;251,58
0004BR;363;01/06/2018;30/06/2018;29;2297;252,33
0004BR;363;01/07/2018;31/07/2018;30;2389;262,18
0004BR;363;01/08/2018;31/08/2018;30;2414;264,73
0004BR;363;01/09/2018;30/09/2018;29;2292;253,64
0004BR;363;01/10/2018;31/10/2018;30;2355;260,41
0004BR;363;01/11/2018;30/11/2018;29;2256;249,82
0004BR;363;01/12/2018;31/12/2018;30;2310;255,61
0004BR;363;01/01/2019;31/01/2019;30;2313;249,8
0004BR;363;01/02/2019;28/02/2019;27;2098;227,38
0004BR;363;01/03/2019;31/03/2019;30;2326;251,13
0004BR;363;01/04/2019;30/04/2019;29;2264;244,61
0004BR;363;01/05/2019;31/05/2019;30;2353;253,85
0004BR;363;01/06/2019;30/06/2019;29;2347;253,04
0004BR;363;01/07/2019;31/07/2019;30;2402;258,77
0004BR;363;01/08/2019;31/08/2019;30;2403;258,84
0004BR;363;01/09/2019;30/09/2019;29;2280;246,13
0004BR;363;01/10/2019;31/10/2019;30;2610;279,47
0004BR;363;01/11/2019;30/11/2019;29;2522;270,28
0004BR;363;01/12/2019;31/12/2019;30;2588;277,13
0004BR;363;01/01/2020;31/01/2020;30;2599;331,44
0004BR;363;01/02/2020;29/02/2020;28;2454;313,42
0004BR;363;01/03/2020;31/03/2020;30;2603;330,33
0004BR;363;01/04/2020;30/04/2020;29;2616;331,85
0004BR;363;01/05/2020;31/05/2020;30;2693;341,35
0004BR;363;01/06/2020;30/06/2020;29;2622;332,51
0004BR;363;01/07/2020;31/07/2020;30;2764;349,96
0004BR;363;01/08/2020;31/08/2020;30;2804;354,84
0004BR;363;01/09/2020;30/09/2020;29;2700;342
0004BR;363;01/10/2020;31/10/2020;30;2760;349,45
0004BR;363;01/11/2020;30/11/2020;29;2647;326,93
0004KO;398;01/01/2018;31/01/2018;30;2206;275,39
0004KO;398;01/02/2018;28/02/2018;27;1996;250,09
0004KO;398;01/03/2018;31/03/2018;30;2208;275,63
0004KO;398;01/04/2018;30/04/2018;29;2146;268,16
0004KO;398;01/05/2018;31/05/2018;30;2261;282,01
0004KO;398;01/06/2018;30/06/2018;29;2194;273,94
0004KO;398;01/07/2018;31/07/2018;30;2293;286,03
0004KO;398;01/08/2018;31/08/2018;30;2325;289,89
0004KO;398;01/09/2018;30/09/2018;29;2213;278,13
0004KO;398;01/10/2018;31/10/2018;30;2693;336,37
0004KO;398;01/11/2018;30/11/2018;29;2597;324,72
0004KO;398;01/12/2018;31/12/2018;30;2679;334,67
0004KO;398;01/01/2019;31/01/2019;30;2678;367,54
0004KO;398;01/02/2019;28/02/2019;27;2416;332,53
0004KO;398;01/03/2019;31/03/2019;30;2672;366,74
0004KO;398;01/04/2019;30/04/2019;29;2386;328,53
0004KO;398;01/05/2019;31/05/2019;30;2457;338,01
0004KO;398;01/06/2019;30/06/2019;29;2463;338,81
0004KO;398;01/07/2019;31/07/2019;30;2542;349,37
0004KO;398;01/08/2019;31/08/2019;30;2528;347,5
0004KO;398;01/09/2019;30/09/2019;29;2390;329,06
0004KO;398;01/10/2019;31/10/2019;30;2461;338,55
0004KO;398;01/11/2019;30/11/2019;29;2376;327,19
0004KO;398;01/12/2019;31/12/2019;30;2435;335,07
0004KO;398;01/01/2020;31/01/2020;30;2444;334,66
0004KO;398;01/02/2020;29/02/2020;28;2354;322,73
0004KO;398;01/03/2020;31/03/2020;30;2556;349,49
0004KO;398;01/04/2020;30/04/2020;29;2569;351,22
0004KO;398;01/05/2020;31/05/2020;30;2656;362,74
0004KO;398;01/06/2020;30/06/2020;29;2615;357,31
0004KO;398;01/07/2020;31/07/2020;30;2796;381,29
0004KO;398;01/08/2020;31/08/2020;30;2878;392,15
0004KO;398;01/09/2020;30/09/2020;29;2728;372,28
0004KO;398;01/10/2020;31/10/2020;30;2785;379,83
0004KO;398;01/11/2020;30/11/2020;29;2668;353,44
0005KO;418;01/01/2018;30/06/2018;180;14134;1921,96
0005KO;418;01/07/2018;31/12/2018;183;16400;2239,81
0005KO;418;01/01/2019;30/06/2019;180;18832;2470,29
0005KO;418;01/07/2019;31/07/2019;30;3412;442,33
0005KO;418;01/08/2019;31/08/2019;30;2804;368,51
0005KO;418;01/09/2019;30/09/2019;29;2683;353,82
0005KO;418;01/10/2019;31/10/2019;30;2758;362,93
0005KO;418;01/11/2019;30/11/2019;29;2654;350,26
0005KO;418;01/12/2019;31/12/2019;30;2719;358,19
0005KO;418;01/01/2020;31/01/2020;30;2732;354,04
0005KO;418;01/02/2020;29/02/2020;28;2623;341,03
0005KO;418;01/03/2020;31/03/2020;30;2776;362,25
0005KO;418;01/04/2020;30/04/2020;29;2811;366,46
0005KO;418;01/05/2020;31/05/2020;30;2936;381,51
0005KO;418;01/06/2020;30/06/2020;29;2906;377,89
0005KO;418;01/07/2020;31/07/2020;30;3058;396,19
0005KO;418;01/08/2020;31/08/2020;30;3120;403,65
0005KO;418;01/09/2020;30/09/2020;29;3017;391,26
0005KO;418;01/10/2020;31/10/2020;30;3058;396,19
0005KO;418;01/11/2020;30/11/2020;29;2913;378,74
0006BB;453;01/01/2018;31/01/2018;30;2195;286,32
0006BB;453;01/02/2018;28/02/2018;27;1999;261,49
0006BB;453;01/03/2018;31/03/2018;30;2203;288,05
0006BB;453;01/04/2018;30/04/2018;29;2174;284,89
0006BB;453;01/05/2018;31/05/2018;30;2306;301,54
0006BB;453;01/06/2018;30/06/2018;29;2306;301,4
0006BB;453;01/07/2018;31/07/2018;30;2759;358,62
0006BB;453;01/08/2018;31/08/2018;30;2781;361,69
0006BB;453;01/09/2018;30/09/2018;29;2647;346,44
0006BB;453;01/10/2018;31/10/2018;30;2708;353,93
0006BB;453;01/11/2018;30/11/2018;29;2609;341,31
0006BB;453;01/12/2018;31/12/2018;30;2827;368,59
0006BB;453;01/01/2019;31/01/2019;30;2829;352,08
0006BB;453;01/02/2019;28/02/2019;27;2475;309,62
0006BB;453;01/03/2019;31/03/2019;30;2713;338,57
0006BB;453;01/04/2019;30/04/2019;29;2505;313,08
0006BB;453;01/05/2019;31/05/2019;30;2600;323,2
0006BB;453;01/06/2019;30/06/2019;29;2770;344,85
0006BB;453;01/07/2019;31/07/2019;30;2861;355,89
0006BB;453;01/08/2019;31/08/2019;30;2826;352,13
0006BB;453;01/09/2019;30/09/2019;29;2714;338,31
0006BB;453;01/10/2019;31/10/2019;30;2805;349,08
0006BB;453;01/11/2019;30/11/2019;29;2680;334,16
0006BB;453;01/12/2019;31/12/2019;30;2735;340,42
0006BB;453;01/01/2020;31/01/2020;30;2743;392,84
0006BB;453;01/02/2020;29/02/2020;28;2535;365,54
0006BB;453;01/03/2020;31/03/2020;30;2644;383,08
0006BB;453;01/04/2020;30/04/2020;29;2569;371,58
0006BB;453;01/05/2020;31/05/2020;30;2655;383,26
0006BB;453;01/06/2020;30/06/2020;29;2623;378,94
0006BB;453;01/07/2020;31/07/2020;30;2755;396,43
0006BB;453;01/08/2020;31/08/2020;30;2797;401,25
0006BB;453;01/09/2020;30/09/2020;29;3171;452,79
0006BB;453;01/10/2020;31/10/2020;30;3464;492,83
0006BB;453;01/11/2020;30/11/2020;29;3315;459,69
0006BR;473;01/01/2018;30/06/2018;180;13640;1854,79
0006BR;473;01/07/2018;31/12/2018;183;14222;1956,44
0006BR;473;01/01/2019;30/06/2019;180;13696;1800,14
0006BR;473;01/07/2019;31/07/2019;30;2493;323,81
0006BR;473;01/08/2019;31/08/2019;30;2656;343,6
0006BR;473;01/09/2019;30/09/2019;29;2598;336,56
0006BR;473;01/10/2019;31/10/2019;30;2619;339,11
0006BR;473;01/11/2019;30/11/2019;29;2502;324,91
0006BR;473;01/12/2019;31/12/2019;30;2548;330,49
0006BR;473;01/01/2020;31/01/2020;30;2544;330,01
0006BR;473;01/02/2020;29/02/2020;28;2417;309,51
